NMFS Landings Query Results,,,,
,,,,
You Asked For the Following:,,,,
,,,,
Year             : From: 1950 To: 2010,,,,
,,,,
Species          : ALL SPECIES INDIVIDUALLY,,,,
,,,,
State            : All States,,,,
,,,,
Year,Species,Metric Tons,Pounds,$
1951,CATFISHES & BULLHEADS,"5,964.20","13,148,600","2,665,441"
1951,CHUBS,"4,776.00","10,529,200","1,689,584"
1951,"CLAM, ATLANTIC JACKKNIFE",21.2,"46,800","6,274"
1951,"CLAM, ATLANTIC SURF","4,757.00","10,487,300","1,049,457"
1951,"CLAM, BUTTER",17.7,"38,980","15,550"
1951,"CLAM, OCEAN QUAHOG",93.1,"205,300","14,780"
1951,"CLAM, PACIFIC LITTLENECK",80.3,"177,000","92,043"
1951,"CLAM, PACIFIC RAZOR","1,249.60","2,754,881","549,288"
1951,"CLAM, QUAHOG","9,328.70","20,566,000","7,431,220"
1951,"CLAM, SOFTSHELL","4,092.10","9,021,500","2,329,511"
1951,CLAMS OR BIVALVES,25.3,"55,700","28,060"
1951,COBIA,27.9,"61,600","5,551"
1951,"COCKLE, NUTTALL",14.5,"32,073","2,566"
1951,"COD, ATLANTIC","22,690.30","50,023,000","3,634,700"
1951,"COD, PACIFIC","4,339.80","9,567,600","516,118"
1951,"CRAB, ATLANTIC ROCK","1,056.20","2,328,400","127,090"
1951,"CRAB, BLUE","48,893.50","107,790,600","4,349,888"
1951,"CRAB, BLUE, SOFT AND PEELER","2,978.50","6,566,500","1,353,871"
1951,"CRAB, DUNGENESS","13,305.30","29,332,816","3,674,258"
1951,"CRAB, FLORIDA STONE CLAWS",30.1,"66,300","32,618"
1951,"CRAB, HORSESHOE",279.3,"615,700","3,695"
1951,"CRAB, KING",904.4,"1,993,912","227,622"
1951,"CRAB, RED ROCK",10.3,"22,600","1,803"
1951,"CRAB, SNOW/TANNER",5.5,"12,120","1,030"
1951,CRAPPIE,0.6,"1,300",82
1951,CRAYFISHES OR CRAWFISHES,26.2,"57,700","9,231"
1951,"CROAKER, ATLANTIC","3,853.50","8,495,500","1,059,352"
1951,"CROAKER, PACIFIC WHITE",309.4,"682,200","44,249"
1951,CUNNER,7.6,"16,800",332
1951,CUSK,"1,779.50","3,923,000","181,452"
1951,DOLLY VARDEN,11.1,"24,512","2,834"
1951,DOLPHINFISH,12.2,"27,000","2,679"
1951,"DRUM, BLACK",601,"1,325,000","141,171"
1951,"DRUM, FRESHWATER","1,974.60","4,353,300","255,121"
1951,"DRUM, RED",976.7,"2,153,300","333,882"
1951,"EEL, AMERICAN",833.3,"1,837,200","242,281"
1951,"EEL, CONGER",52.4,"115,600","3,637"
1951,"FINFISHES, UNC BAIT AND ANIMAL FOOD","20,204.00","44,541,700","406,820"
1951,"FINFISHES, UNC FOR FOOD","6,279.60","13,843,900","726,082"
1951,"FINFISHES, UNC GENERAL",76.2,"168,049","17,071"
1951,FLATFISH,"3,558.30","7,844,548","954,078"
1951,"FLOUNDER, SUMMER","5,286.70","11,655,100","2,298,363"
1951,"FLOUNDER, WINTER","9,317.80","20,542,000","2,953,453"
1951,"FLOUNDER, WITCH","2,725.30","6,008,200","563,915"
1951,"FLOUNDER, YELLOWTAIL","8,359.90","18,430,200","2,373,385"
1951,"FLOUNDER,ATLANTIC,PLAICE","5,153.50","11,361,500","880,894"
1951,FLYINGFISHES,24.3,"53,500","4,217"
1951,FROGS,12.8,"28,300","9,825"
1951,GARS,91.9,"202,600","10,130"
1951,GOATFISHES,65.9,"145,300","14,530"
1951,GOLDFISH,57,"125,600","6,283"
1951,GOOSEFISH,79.8,"176,000","6,420"
1951,"GROUPER, GOLIATH",88.2,"194,500","12,766"
1951,"GROUPER, WARSAW",96.3,"212,300","19,117"
1951,GROUPERS,"3,514.30","7,747,700","852,330"
1951,GRUNTS,112.8,"248,600","20,835"
1951,HADDOCK,"69,900.60","154,102,800","11,967,751"
1951,"HAKE, PACIFIC (WHITING)",19.6,"43,100",820
1951,"HAKE, RED","2,343.10","5,165,500","106,314"
1951,"HAKE, SILVER","54,466.20","120,076,100","2,902,469"
1951,"HAKE, WHITE","5,551.30","12,238,500","565,145"
1951,"HALIBUT, ATLANTIC",196.6,"433,500","98,903"
1951,"HALIBUT, CALIFORNIA",392.8,"865,900","198,641"
1951,"HALIBUT, PACIFIC","21,601.60","47,622,800","6,788,630"
1951,HARVESTFISH,386.8,"852,800","58,207"
1951,"HERRING, ATLANTIC","30,487.10","67,211,900","1,005,254"
1951,"HERRING, LAKE OR CISCO","9,398.10","20,719,100","1,061,079"
1951,"HERRING, PACIFIC","39,512.00","87,108,200","1,100,346"
1951,HOGCHOKER,5.1,"11,300",680
1951,HOGFISH,18.6,"40,900","4,997"
1951,JACK MACKEREL,"40,750.30","89,838,100","2,016,402"
1951,"JACK, CREVALLE",331.4,"730,700","21,919"
1951,KING WHITING,"1,702.90","3,754,300","338,627"
1951,LADYFISH,481.4,"1,061,200","41,732"
1951,"LAMPREY, SEA",93.8,"206,800","5,170"
1951,"LAUNCE, AMERICAN SAND",19,"41,900","1,310"
1951,LINGCOD,"3,029.60","6,679,052","593,026"
1951,"LOBSTER, AMERICAN","11,768.90","25,945,800","9,378,322"
1951,"LOBSTER, CALIFORNIA SPINY",374,"824,600","301,867"
1951,"LOBSTER, CARIBBEAN SPINY","1,405.00","3,097,400","588,506"
1951,MACKEREL (SCOMBER),"15,206.10","33,523,400","932,348"
1951,"MACKEREL, ATLANTIC","7,140.80","15,742,700","1,487,134"
1951,"MACKEREL, CHUB",8.3,"18,400","1,271"
1951,"MACKEREL, FRIGATE",0.7,"1,500",64
1951,"MACKEREL, KING AND CERO","1,424.90","3,141,300","469,554"
1951,"MACKEREL, SPANISH","3,955.40","8,720,100","920,790"
1951,MENHADEN,"511,233.60","1,127,065,600","12,983,198"
1951,MOONEYES,9.8,"21,500","1,128"
1951,"MULLET, STRIPED (LIZA)","15,078.80","33,242,700","3,547,669"
1951,"MULLET, WHITE","2,685.20","5,919,900","413,751"
1951,"MUSSEL, BLUE",327.4,"721,800","53,631"
1951,OCTOPUS,26.9,"59,400","3,640"
1951,"OYSTER, EASTERN","29,168.60","64,305,000","27,104,744"
1951,"OYSTER, OLYMPIA",39.7,"87,600","124,854"
1951,"OYSTER, PACIFIC","3,899.60","8,597,000","1,840,170"
1951,PADDLEFISH,10.3,"22,800","3,556"
1951,"PERCH, WHITE","1,034.10","2,279,800","228,058"
1951,"PERCH, YELLOW","2,042.30","4,502,400","996,626"
1951,PERIWINKLES,1.6,"3,500","1,072"
1951,PERMIT,18.9,"41,700","2,919"
1951,PIGFISH,173,"381,400","15,273"
1951,"PIKE, BLUE","1,010.40","2,227,600","579,950"
1951,PIKES,65.5,"144,500","16,080"
1951,PILOTFISH,1.2,"2,600",124
1951,PINFISH,464.1,"1,023,200","25,600"
1951,POLLOCK,"10,304.50","22,717,300","1,002,433"
1951,"POMPANO, FLORIDA",446.3,"984,000","489,273"
1951,"POMPANO, PACIFIC",29.1,"64,200","22,298"
1951,PORKFISH,2.1,"4,600",230
1951,"POUT, OCEAN",63,"138,900","2,431"
1951,"PUFFER, NOTHERN",745.8,"1,644,200","80,443"
1951,QUILLBACK,1,"2,300",70
1951,RATFISH SPOTTED,281.2,"620,000","6,200"
1951,"REDFISH, ACADIAN","117,173.20","258,320,100","12,596,680"
1951,"ROCK BASSES, PACIFIC",130.9,"288,600","45,567"
1951,"ROCKFISH, PACIFIC OCEAN PERCH",841.8,"1,855,800","92,787"
1951,ROCKFISHES,"11,496.30","25,344,664","1,408,832"
1951,"RUNNER, BLUE",445.4,"982,000","49,448"
1951,SABLEFISH,"6,358.80","14,018,505","1,232,614"
1951,"SALMON, ATLANTIC",0.7,"1,600",810
1951,"SALMON, CHINOOK","19,595.60","43,200,540","10,488,978"
1951,"SALMON, CHUM","29,544.50","65,133,720","6,011,159"
1951,"SALMON, COHO","23,615.70","52,063,248","8,526,813"
1951,"SALMON, PINK","66,971.00","147,644,196","18,233,833"
1951,"SALMON, SOCKEYE","30,019.60","66,181,308","9,247,703"
1951,SAND PERCH,6.5,"14,300",735
1951,SANDWORMS,67.1,"147,900","90,480"
1951,"SARDINE, PACIFIC","149,185.50","328,894,400","7,247,606"
1951,SAUGER,214.1,"471,900","116,845"
1951,"SAWFISH, SMALLTOOTH",4.9,"10,800",540
1951,SCADS,28.2,"62,100","3,105"
1951,"SCALLOP, BAY",811.4,"1,788,900","1,337,451"
1951,"SCALLOP, SEA","8,503.10","18,745,900","8,323,725"
1951,SCALLOPS,7.7,"17,000","10,738"
1951,SCULPINS,46,"101,400","18,412"
1951,SCUPS OR PORGIES,"16,642.60","36,690,200","2,993,264"
1951,"SEA BASS, BLACK","8,487.20","18,710,800","2,115,319"
1951,"SEA BASS, GIANT",125.9,"277,500","45,504"
1951,SEA CATFISHES,528.1,"1,164,200","73,434"
1951,SEA URCHINS,25,"55,100","1,330"
1951,"SEABASS, WHITE",695.4,"1,533,000","364,620"
1951,SEAROBINS,195.6,"431,300","7,750"
1951,"SEATROUT, SAND",251.7,"554,900","62,890"
1951,"SEATROUT, SPOTTED","2,639.90","5,819,900","1,391,921"
1951,"SEAWEED, IRISH MOSS","1,238.40","2,730,100","40,440"
1951,"SEAWEED, KELP","104,109.60","229,520,000","3,525,427"
1951,"SHAD, AMERICAN","4,741.90","10,453,900","1,774,184"
1951,"SHAD, GIZZARD",140.6,"310,000","7,133"
1951,"SHAD, HICKORY",207.8,"458,200","28,672"
1951,"SHARK, DOGFISH","1,228.30","2,707,800","71,545"
1951,"SHARK, SOUPFIN",53,"116,900","23,689"
1951,SHARKS,672.8,"1,483,308","92,747"
1951,"SHEEPHEAD, CALIFORNIA",27.9,"61,400","5,519"
1951,SHEEPSHEAD,139,"306,400","30,991"
1951,"SHRIMP, MARINE, OTHER","100,501.90","221,566,400","51,576,438"
1951,"SHRIMP, OCEAN",423.7,"934,000","64,874"
1951,"SHRIMP, PENAEID",823.7,"1,815,916","221,457"
1951,SILVERSIDES,0.4,800,48
1951,SKATES,581.3,"1,281,500","19,447"
1951,"SMELT, EULACHON",672.3,"1,482,200","228,818"
1951,"SMELT, RAINBOW","1,690.80","3,727,500","262,708"
1951,"SMELT, WHITEBAIT",73.5,"162,100","15,583"
1951,SMELTS,767.8,"1,692,700","128,251"
1951,SNAILS (CONCHS),188.5,"415,600","40,827"
1951,"SNAPPER, GRAY",216.8,"477,900","66,906"
1951,"SNAPPER, RED","3,260.50","7,188,000","1,862,817"
1951,"SNAPPER, YELLOWTAIL",198.5,"437,600","91,882"
1951,SNAPPERS,67.3,"148,300","24,784"
1951,SNOOK,317.3,"699,600","90,915"
1951,SOLES,"18,919.30","41,709,500","3,030,290"
1951,SPADEFISHES,0.1,200,14
1951,"SPONGE, GRASS",0.2,500,"1,610"
1951,"SPONGE, SHEEPSWOOL",6.7,"14,800","107,300"
1951,"SPONGE, YELLOW",0.2,500,"1,845"
1951,SPOT,"5,929.30","13,071,800","836,181"
1951,SPOTTED CABRILLA,177.7,"391,800","59,314"
1951,SQUAWFISHES,0.4,900,35
1951,SQUIDS,"8,156.40","17,981,500","611,646"
1951,STURGEONS,174.8,"385,300","98,771"
1951,SUCKERS,"1,391.60","3,067,900","165,558"
1951,SUNFISHES,8,"17,700","1,285"
1951,SURFPERCHES,235.6,"519,500","61,276"
1951,SWORDFISH,195,"429,900","198,266"
