Species,CommonName,Name,T1
Trisopterus nei,Trisopterus nei,Trisopterus nei,NA
 Salmo spp,Trouts nei ,Trouts nei - Salmo spp,NA
 Nephropidae,"True lobsters,lobsterettes nei ","True lobsters,lobsterettes nei - Nephropidae",NA
 Thunnus spp,True tunas nei ,True tunas nei - Thunnus spp,NA
 Donax trunculus,Truncate donax ,Truncate donax - Donax trunculus,NA
 Chelidonichthys lucerna,Tub gurnard ,Tub gurnard - Chelidonichthys lucerna,NA
eye ,Tube,Tube-eye - Stylephorus chordatus,NA
 Haliotis tuberculata,Tuberculate abalone ,Tuberculate abalone - Haliotis tuberculata,NA
 Acanthocardia tuberculata,Tuberculate cockle ,Tuberculate cockle - Acanthocardia tuberculata,NA
like fishes nei ,Tuna,Tuna-like fishes nei - Scombroidei,501905
 Thunnini,Tunas nei ,Tunas nei - Thunnini,NA
"Tunas, bonitos, billfishes","Tunas, bonitos, billfishes","Tunas, bonitos, billfishes",NA
 Psetta maxima,Turbot ,Turbot - Psetta maxima,NA
 Scophtalmidae,Turbots nei ,Turbots nei - Scophtalmidae,NA
 Brosme brosme,Tusk (=Cusk) ,Tusk (=Cusk) - Brosme brosme,NA
 Risor ruber,Tusked goby ,Tusked goby - Risor ruber,NA
 Alosa fallax,Twaite shad ,Twaite shad - Alosa fallax,NA
spotted goby  ,Two,Two-spotted goby  - Gobiusculus flavescens,NA
 Raja undulata,Undulate ray ,Undulate ray - Raja undulata,NA
 Aluterus monoceros,Unicorn leatherjacket filefish ,Unicorn leatherjacket filefish - Aluterus monoceros,NA
 Scaeurgus unicirrhus,Unihorn octopus ,Unihorn octopus - Scaeurgus unicirrhus,NA
 Campogramma glaycos,Vadigo ,Vadigo - Campogramma glaycos,NA
 Leuciscus souffia,Vairone ,Vairone - Leuciscus souffia,NA
 Chlamys varia,Variegated scallop ,Variegated scallop - Chlamys varia,NA
 Selachimorpha (Pleurotremata),Various sharks nei ,Various sharks nei - Selachimorpha (Pleurotremata),NA
" Loliginidae, Ommastrephidae",Various squids nei ,"Various squids nei - Loliginidae, Ommastrephidae",NA
 Loligo forbesi,Veined squid ,Veined squid - Loligo forbesi,NA
 Etmopterus spinax,Velvet belly ,Velvet belly - Etmopterus spinax,NA
 Necora puber,Velvet swimcrab ,Velvet swimcrab - Necora puber,NA
 Coregonus albula,Vendace ,Vendace - Coregonus albula,NA
Venerupis spp,Venerupis spp,Venerupis spp,NA
 Veneridae,Venus clams nei ,Venus clams nei - Veneridae,NA
 Vimba vimba,Vimba bream ,Vimba bream - Vimba vimba,NA
 Glycymeris violacescens,Violet bittersweet ,Violet bittersweet - Glycymeris violacescens,NA
 Sphaerechinus granularis,Violet sea urchin ,Violet sea urchin - Sphaerechinus granularis,NA
 Eleginus navaga,Wachna cod (=Navaga) ,Wachna cod (=Navaga) - Eleginus navaga,NA
 Acanthocybium solandri,Wahoo ,Wahoo - Acanthocybium solandri,NA
 Undaria pinnatifida,Wakame ,Wakame - Undaria pinnatifida,NA
 Eriphia verrucosa,Warty crab ,Warty crab - Eriphia verrucosa,NA
 Venus verrucosa,Warty venus ,Warty venus - Venus verrucosa,NA
 Patinopecten caurinus,Weathervane scallop ,Weathervane scallop - Patinopecten caurinus,NA
 Ommastrephes caroli,Webbed flying squid ,Webbed flying squid - Ommastrephes caroli,NA
 Dicologoglossa cuneata,Wedge sole ,Wedge sole - Dicologoglossa cuneata,NA
 Trachinidae,Weeverfishes nei ,Weeverfishes nei - Trachinidae,NA
 Trachinus spp,Weevers nei ,Weevers nei - Trachinus spp,NA
 Silurus glanis,Wels(=Som) Catfish ,Wels(=Som) Catfish - Silurus glanis,NA
 Scyliorhinus cervigoni,West African catshark ,West African catshark - Scyliorhinus cervigoni,NA
 Pseudotolithus spp,West African croakers nei ,West African croakers nei - Pseudotolithus spp,NA
 Geryon maritae,West African geryon ,West African geryon - Geryon maritae,NA
 Pseudupeneus prayensis,West African goatfish ,West African goatfish - Pseudupeneus prayensis,NA
 Ilisha africana,West African ilisha ,West African ilisha - Ilisha africana,NA
 Elops lacerta,West African ladyfish ,West African ladyfish - Elops lacerta,NA
 Glaucosoma hebraicum,Westralian jewfish ,Westralian jewfish - Glaucosoma hebraicum,NA
 Buccinum undatum,Whelk ,Whelk - Buccinum undatum,NA
 Monochirus hispidus,Whiskered sole ,Whiskered sole - Monochirus hispidus,NA
spotted octopus ,White,White-spotted octopus - Octopus macropus,NA
 Blicca bjoerkna,White bream ,White bream - Blicca bjoerkna,NA
 Pasiphaea sivado,White glass shrimp ,White glass shrimp - Pasiphaea sivado,NA
 Epinephelus aeneus,White grouper ,White grouper - Epinephelus aeneus,NA
 Urophycis tenuis,White hake ,White hake - Urophycis tenuis,NA
 Morone americana,White perch ,White perch - Morone americana,NA
 Diplodus sargus,White seabream ,White seabream - Diplodus sargus,NA
 Raja alba,White skate ,White skate - Raja alba,NA
 Fragum fragum,White strawberry cockle ,White strawberry cockle - Fragum fragum,NA
 Pseudocaranx dentex,White trevally ,White trevally - Pseudocaranx dentex,NA
 Coregonus spp,Whitefishes nei ,Whitefishes nei - Coregonus spp,NA
 Triaenodon obesus,Whitetip reef shark ,Whitetip reef shark - Triaenodon obesus,NA
 Merlangius merlangus,Whiting ,Whiting - Merlangius merlangus,NA
eyed flounder ,Wide,Wide-eyed flounder - Bothus podas,NA
 Pseudopleuronectes americanus,Winter flounder ,Winter flounder - Pseudopleuronectes americanus,NA
 Glyptocephalus cynoglossus,Witch flounder ,Witch flounder - Glyptocephalus cynoglossus,NA
 Anarhichas spp,Wolffishes (=Catfishes) nei ,Wolffishes (=Catfishes) nei - Anarhichas spp,NA
 Labridae,"Wrasses,Hogfishes, etc, nei ","Wrasses,Hogfishes, etc, nei - Labridae",NA
 Polyprion americanus,Wreckfish ,Wreckfish - Polyprion americanus,NA
 Xiphopenaeus spp,Xiphopenaeus shrimps nei ,Xiphopenaeus shrimps nei - Xiphopenaeus spp,NA
edged lyretail ,Yellow,Yellow-edged lyretail - Variola louti,NA
 Lutjanus argentiventris,Yellow snapper ,Yellow snapper - Lutjanus argentiventris,NA
 Pellona flavipinnis,Yellowfin river pellona ,Yellowfin river pellona - Pellona flavipinnis,NA
 Thunnus albacares,Yellowfin tuna ,Yellowfin tuna - Thunnus albacares,NA
 Sphyraena viridensis,Yellowmouth barracuda ,Yellowmouth barracuda - Sphyraena viridensis,NA
 Carangoides fulvoguttatus,Yellowspotted trevally ,Yellowspotted trevally - Carangoides fulvoguttatus,NA
 Mulloidichthys flavolineatus,Yellowstripe goatfish ,Yellowstripe goatfish - Mulloidichthys flavolineatus,NA
 Seriola lalandi,Yellowtail amberjack ,Yellowtail amberjack - Seriola lalandi,NA
 Limanda ferruginea,Yellowtail flounder ,Yellowtail flounder - Limanda ferruginea,NA
 Diplodus cervinus,Zebra seabream ,Zebra seabream - Diplodus cervinus,NA
NA,NA,NA,2550
