Species,TaxonKey
Mediterranean scaldfish - Arnoglossus laterna,NA
Mediterranean shore craB - Carcinus aestuarii,NA
Mediterranean slimehead - Hoplostethus mediterraneus,NA
Mediterranean slipper lobster - Scyllarides latus,NA
Mediterranean spearfish - Tetrapturus belone,NA
Mediterranean starry ray - Raja asterias,NA
Megrim - Lepidorhombus whiffiagonis,NA
Megrims nei - Lepidorhombus spp,NA
Melanostigma spp,NA
Melanostomias tentaculatus,NA
Metapenaeus shrimps nei,NA
Microchirus azevia,NA
Midsize squid - Alloteuthis media,NA
Minke whale - Balaenoptera acutorostra,NA
Miscellaneous aquatic animal products,NA
Miscellaneous aquatic animals,NA
Miscellaneous aquatic invertabrates,NA
Miscellaneous aquatic mammals,NA
Miscellaneous aquatic plants,NA
Miscellaneous coastal fishes,NA
Miscellaneous demersal fishes,NA
Miscellaneous diadromous fishes,NA
Miscellaneous freshwater fishes,NA
Miscellaneous marine crustaceans,NA
Miscellaneous marine molluscs,NA
Miscellaneous pelagic fishes,NA
Molluscs,NA
Monkfishes nei - Lophius spp,NA
Monrovia doctorfish - Acanthurus monroviae,NA
Moras nei - Moridae,NA
Morays - Muraenidae,NA
Morocco dentex - Dentex maroccanus,NA
Mottled grouper - Mycteroperca rubra,NA
Mouse catshark - Galeus murinus,NA
Mugil spp,NA
Mullets nei - Mugilidae,NA
Muraena spp,NA
Murex - Murex spp,NA
Musky octopus - Eledone moschata,NA
Mussels,100054
Mussels,590117
Mytilus spp,NA
NA,2550
Narrow-barred Spanish mackerel - Scomberomorus commerson,NA
Narwal shrimp - Parapandalus narval,NA
Natantian decapods nei - Natantia,NA
"Needlefishes etc, nei - Belonidae",NA
Needlefishes nei - Tylosurus spp,NA
Neon flying squid - Ommastrephes bartrami,NA
New Zealand scallop - Pecten novaezelandiae,NA
Noah's ark - Arca noae,NA
Noble crayfish - Astacus astacus,NA
North Atlantic codling - Lepidion eques,NA
North Atlantic rockweed - Ascophyllum nodosum,NA
North European kelp - Laminaria hyperborea,NA
Northern cods nei - Gadus spp,NA
Northern lucina - Lucinoma borealis,NA
Northern pike - Esox lucius,NA
Northern prawn - Pandalus borealis,NA
Northern quahog(=Hard clam) - Mercenaria mercenaria,NA
Northern shortfin squid - Illex illecebrosus,NA
Northern white shrimp - Penaeus setiferus,NA
Northern wolffish - Anarhichas denticulatus,NA
Norway lobster - Nephrops norvegicus,NA
Norway pout - Trisopterus esmarkii,NA
Norwegian egg cockle - Laevicardium crassum,NA
Norwegian skate - Raja nidarosiensis,NA
Nursehound - Scyliorhinus stellaris,NA
Ocean quahog - Arctica islandica,NA
Ocean sunfish - Mola mola,NA
Oceanic puffer - Lagocephalus lagocephalus,NA
Oceanic whitetip shark - Carcharhinus longimanus,NA
"Octopuses etc, nei - Octopodidae",NA
Octopuses nei - Octopus spp,NA
Offshore rockfish - Pontinus kuhlii,NA
Oilfish - Ruvettus pretiosus,NA
Olive green cockle - Cerastoderma glaucum,NA
Opah - Lampris guttatus,NA
Orange roughy - Hoplostethus atlanticus,NA
Orangeback flying squid - Ommastrephes pteropus,NA
Orfe (=Ide) - Leuciscus idus,NA
Ornate wrasse - Thalassoma pavo,NA
Oval surf clam - Spisula ovalis,NA
Oysters,100053
Oysters,590113
Pacific coral moss - Jania adhaerens,NA
Pacific cupped oyster - Crassostrea gigas,NA
Painted comber - Serranus scriba,NA
Painted eel - Echelus myrus,NA
Palaemon shrimps nei,NA
Palaemonid shrimps nei - Palaemonidae,NA
Palinurid spiny lobster nei - Palinurus spp,NA
Pandalid shrimps nei - Pandalidae,NA
Pandalus shrimps nei - Pandalus spp,NA
Pandoras nei - Pagellus spp,NA
Parassi mullet - Mugil incilis,NA
Pargo breams nei - Pagrus spp,NA
Paromola - Paromola cuvieri,NA
Parrotfish - Sparisoma cretense,NA
Patagonian grenadier - Macruronus magellanicus,NA
Patagonian squid - Loligo gahi,NA
Patagonian toothfish - Dissostichus eleginoides,NA
Pearly razorfish - Xyrichtys novacula,NA
Pelagic fishes nei - Osteichthyes,NA
Pelagic percomorphs nei - Perciformes,NA
Pelagic stingray - Dasyatis violacea,NA
Penaeid shrimps nei - Penaeidae,NA
