"Species","CommonName","Name","TaxonKey"
"Epinephelus spp","Groupers nei","Groupers nei - Epinephelus spp",500366
"Sphyraena spp","Barracudas nei","Barracudas nei - Sphyraena spp",500372
"Sphyraena viridensis","Yellowmouth barracuda","Yellowmouth barracuda - Sphyraena viridensis",500372
"Gymnothorax polygonius","Polygon moray","Polygon moray - Gymnothorax polygonius",500384
"Caranx spp","Jacks, Crevalles, nei ","Jacks, Crevalles, nei - Caranx spp",500467
"Pacific king mackerel","Indo","Indo-Pacific king mackerel - Scomberomorus guttatus",500487
"Scomberomorus spp","Seerfishes nei","Seerfishes nei - Scomberomorus spp",500487
"Pacific sailfish","Indo","Indo-Pacific sailfish - Istiophorus platypterus",500488
"Prionotus spp","Atlantic searobins","Atlantic searobins - Prionotus spp",500495
"Centropomus spp","Snooks(=Robalos) nei","Snooks(=Robalos) nei - Centropomus spp",500504
"Pomadasys spp","Pomadasys spp","Pomadasys spp",500516
"Trachinotus spp","Pompanos nei","Pompanos nei - Trachinotus spp",500598
"Solea impar","Adriatic sole","Adriatic sole - Solea impar",500618
"Solea spp","Solea spp","Solea spp",500618
"Isurus spp","Mako sharks","Mako sharks - Isurus spp",500638
"Alopias spp","Tresher sharks nei","Tresher sharks nei - Alopias spp",500639
"Galeus boardmani","Australian sawtail catshark","Australian sawtail catshark - Galeus boardmani",500640
"Galeus schultzi","Dwarf sawtail catshark","Dwarf sawtail catshark - Galeus schultzi",500640
"tail catsharks nei","Crest","Crest-tail catsharks nei - Galeus spp",500640
"Etmopterus princeps","Great lanternshark","Great lanternshark - Etmopterus princeps",500642
"Etmopterus spp","Lantern sharks nei","Lantern sharks nei - Etmopterus spp",500642
"Dasyatis spp","Stingrays nei","Stingrays nei - Dasyatis spp",500646
"Dasyatis violacea","Pelagic stingray","Pelagic stingray - Dasyatis violacea",500646
"Merluccius capensis,M.paradox.","Cape hakes","Cape hakes - Merluccius capensis,M.paradox.",500654
"Merluccius spp","Hakes nei","Hakes nei - Merluccius spp",500654
"Trachurus spp","Jack and horse mackerels nei","Jack and horse mackerels nei - Trachurus spp",500661
"Spicara spp","Picarels nei","Picarels nei - Spicara spp",500679
"bearded rockling","Three","Three-bearded rockling - Gaidropsarus vulgaris",500686
"Gaidropsarus biscayensis","Mediterranean bigeye rockling","Mediterranean bigeye rockling - Gaidropsarus biscayensis",500686
"Gaidropsarus mediterraneus","Shore rockling","Shore rockling - Gaidropsarus mediterraneus",500686
"Gaidropsarus spp","Rocklings nei","Rocklings nei - Gaidropsarus spp",500686
"Sphyrna corona","Scalloped bonnethead","Scalloped bonnethead - Sphyrna corona",500693
"Sphyrna spp","Hammerhead sharks nei","Hammerhead sharks nei - Sphyrna spp",500693
"Diplodus spp","Sargo breams nei","Sargo breams nei - Diplodus spp",500705
"Epigonus spp","Cardinal fishes nei","Cardinal fishes nei - Epigonus spp",500716
