Species,CommonName,Name,T1,TaxonKey
Tetrapturus pfluegeri,Longbill spearfish,Longbill spearfish - Tetrapturus pfluegeri,NA,600220
Xiphias gladius,Swordfish,Swordfish - Xiphias gladius,NA,600226
Albula vulpes,Bonefish,Bonefish - Albula vulpes,NA,600228
Alepocephalus bairdii,Baird's slickhead,Baird's slickhead - Alepocephalus bairdii,600230,600230
Coregonus albula,Vendace,Vendace - Coregonus albula,NA,600231
Coregonus lavaretus,European whitefish,European whitefish - Coregonus lavaretus,NA,600232
Salmo salar,Atlantic salmon,Atlantic salmon - Salmo salar,600236,600236
Salmo trutta,Sea trout,Sea trout - Salmo trutta,NA,600238
Oncorhynchus mykiss,Rainbow trout,Rainbow trout - Oncorhynchus mykiss,NA,600239
Centrolophus niger,Rudderfish,Rudderfish - Centrolophus niger,NA,600249
Schedophilus ovalis,Imperial blackfish,Imperial blackfish - Schedophilus ovalis,NA,600250
Mallotus villosus,Capelin,Capelin - Mallotus villosus,NA,600252
Glossanodon semifasciatus,Deepsea smelt,Deepsea smelt - Glossanodon semifasciatus,NA,600257
Esox lucius,Northern pike,Northern pike - Esox lucius,NA,600258
Tinca tinca,Tench,Tench - Tinca tinca,NA,600269
Carassius carassius,Crucian carp,Crucian carp - Carassius carassius,NA,600270
Rutilus rutilus,Roach,Roach - Rutilus rutilus,NA,600272
Hypophthalmichthys molitrix,Silver carp,Silver carp - Hypophthalmichthys molitrix,NA,600274
Pelecus cultratus,Sichel,Sichel - Pelecus cultratus,NA,600283
Silurus glanis,Wels(=Som) Catfish,Wels(=Som) Catfish - Silurus glanis,NA,600289
Conger conger,European conger,European conger - Conger conger,NA,600301
Salilota australis,Tadpole codling,Tadpole codling - Salilota australis,NA,600306
Gadus ogac,Greenland cod,Greenland cod - Gadus ogac,NA,600309
Lota lota,Burbot,Burbot - Lota lota,NA,600310
Urophycis chuss,Red hake,Red hake - Urophycis chuss,NA,600312
Urophycis tenuis,White hake,White hake - Urophycis tenuis,NA,600313
Microgadus tomcod,Atlantic tomcod,Atlantic tomcod - Microgadus tomcod,600316,600316
Theragra chalcogramma,Alaska pollock (=Walleye poll.),Alaska pollock (=Walleye poll.) - Theragra chalcogramma,600318,600318
Boreogadus saida,Polar cod,Polar cod - Boreogadus saida,NA,600319
Merluccius senegalensis,Senegalese hake,Senegalese hake - Merluccius senegalensis,NA,600321
Merluccius australis,Southern hake,Southern hake - Merluccius australis,NA,600322
Merluccius bilinearis,Silver hake,Silver hake - Merluccius bilinearis,NA,600323
Merluccius hubbsi,Argentine hake,Argentine hake - Merluccius hubbsi,600325,600325
Macruronus magellanicus,Patagonian grenadier,Patagonian grenadier - Macruronus magellanicus,NA,600329
Macrourus berglax,Roughhead grenadier,Roughhead grenadier - Macrourus berglax,NA,600331
Coryphaenoides rupestris,Roundnose grenadier,Roundnose grenadier - Coryphaenoides rupestris,NA,600332
Macroramphosus scolopax,Longspine snipefish,Longspine snipefish - Macroramphosus scolopax,NA,600333
Hoplostethus atlanticus,Orange roughy,Orange roughy - Hoplostethus atlanticus,NA,600334
Zenopsis conchifer,Silvery John dory,Silvery John dory - Zenopsis conchifer,NA,600336
Menidia menidia,Atlantic silverside,Atlantic silverside - Menidia menidia,600339,600339
Polyprion americanus,Wreckfish,Wreckfish - Polyprion americanus,NA,600349
Polyprion oxygeneios,Hapuku wreckfish,Hapuku wreckfish - Polyprion oxygeneios,NA,600350
