Country,Year,CNumber.x,Landings,LandedValue,ObservedPrice,TaxonKey,ISSCAAP,OrdCode,FamCode,GenCode,SpeCode,TargetCode,Used,OldVersionData,nom,CNumber.y,FishingEntityID,FishingEntityName
Spain,2001,724,49060,92064976,1876.579209,300044,32,44,NA,NA,NA,14,TRUE,NA,24882,724,165,Spain
Spain,2004,724,8366,13333523,1593.775161,500108,38,14,19,108,NA,21,TRUE,NA,27323,724,165,Spain
Spain,1992,724,14294,15305363,1070.754372,490010,57,90002,90010,NA,NA,25,TRUE,NA,19866,724,165,Spain
Spain,1993,724,2493,3155596,1265.782591,300014,38,14,NA,NA,NA,21,TRUE,NA,20401,724,165,Spain
Spain,2005,724,17,26175,1539.705882,690242,42,90013,90032,90064,90242,27,TRUE,NA,28248,724,165,Spain
Spain,1999,724,5358,15799905,2948.843785,600147,36,60,416,1905,147,3,TRUE,NA,23636,724,165,Spain
Spain,2005,724,454,3274347,7212.218062,690269,45,90013,90046,90093,90269,26,TRUE,NA,28249,724,165,Spain
Spain,2006,724,144,218159,1514.993056,601363,39,60,377,122,1363,5,TRUE,NA,29184,724,165,Spain
Spain,1992,724,3295,5717884,1735.321396,501096,32,44,505,1096,NA,6,TRUE,NA,19875,724,165,Spain
Spain,2005,724,20,40637,2031.85,400416,36,60,416,NA,NA,3,TRUE,NA,28096,724,165,Spain
Spain,2005,724,1609,29796656,18518.74208,690273,43,90013,90038,90080,90273,27,TRUE,NA,28251,724,165,Spain
Spain,2005,724,1104,4366488,3955.152174,690392,47,90017,90052,90109,90392,26,TRUE,NA,28254,724,165,Spain
Spain,2005,724,2039,6188877,3035.251103,690605,56,90020,90060,90249,90605,29,TRUE,NA,28255,724,165,Spain
Spain,2005,724,570,8157947,14312.18772,690630,56,90020,90060,90147,90630,29,TRUE,NA,28257,724,165,Spain
Spain,2004,724,137,957322,6987.751825,500903,33,60,330,903,NA,6,TRUE,NA,27339,724,165,Spain
Spain,2005,724,357,11001843,30817.48739,290022,47,NA,NA,NA,NA,27,TRUE,NA,28066,724,165,Spain
Spain,1995,724,7730,21752522,2814.039069,503124,31,61,515,3124,NA,23,TRUE,NA,21544,724,165,Spain
Spain,1996,724,37694,22425152,594.9263013,500661,37,60,314,661,NA,2,TRUE,NA,22030,724,165,Spain
